name;type;characteristics;country;district;subdistrict;vintage;producer;price;drinkafter;drinkbefore;score;bottles;privatscore;grape
Opus one;Rød;Dufter av søte plommer og bær. Saftig og mørk kjølig og konsentrert frukt på smak med lange og raffinerte tanniner. Strukturert finish med en stram finish.;USA;California;Napa Valley;2017;Mondavi, R./Baron Philippe de Rothschild;3461;2030;2040;94;1;;80% Cabernet Sauvignon, 9% Petit Verdot, 5% Cabernet Franc, 5% Merlot, 1% Malbec
L'Esprit de Chevalier;Rød;Dufter av solbær og plommer. Tett og konsentrert frukt med en klar og delikat karakter. Lange og raffinerte tanniner. Balansert utgang.;Frankrike;Bordeaux;Pessac-Leognan;2017;Domaine de Chevalier;329;2020;2025;89;5;5;Cabernet Sauvignon 60%, Merlot 30%, Petit Verdot 10%
L'Esprit de Chevalier;Rød;Dufter av solbær og plommer. Tett og konsentrert frukt med en klar og delikat karakter. Lange og raffinerte tanniner. Balansert utgang.;Frankrike;Bordeaux;Pessac-Leognan;2016;Domaine de Chevalier;340;2019;2024;89;0;5;Cabernet Sauvignon 60%, Merlot 30%, Petit Verdot 10%
Fontodi Chianti Classico;Rød;Dufter av tre, nøtter og kirsebær. Frisk syre på smak med en fast og lang utgang. Fin balanse med en flott syre. Lang og konsentrert med tydelige tanniner.;Italia;Toscana;Chianti Classico;2018;Az. Agr. Fontodi;258;2021;2026;89;7;4;Sangiovese 100%
Domaine de Chevalier;Rød;Dufter av mørke bær og plommer. Lange og faste tanniner på smak med en frisk syre og en pen konsentrasjon.;Frankrike;Bordeaux;Pessac-Leognan;2013;Domaine de Chevalier;500;2017;2030;91;1;6;Cabernet Sauvignon 55%, Merlot 40%, Petit Verdot 5%
Domaine de Chevalier;Rød;Dufter av mørke bær og plommer. Lange og faste tanniner på smak med en frisk syre og en pen konsentrasjon.;Frankrike;Bordeaux;Pessac-Leognan;2014;Domaine de Chevalier;580;2022;2034;93;1;;Cabernet Sauvignon 55%, Merlot 40%, Petit Verdot 5%
Domaine de Chevalier;Rød;Dufter av mørke bær og plommer. Lange og faste tanniner på smak med en frisk syre og en pen konsentrasjon.;Frankrike;Bordeaux;Pessac-Leognan;2015;Domaine de Chevalier;750;2022;2042;91;2;;Cabernet Sauvignon 55%, Merlot 40%, Petit Verdot 5%
Domaine de Chevalier;Rød;Dufter av mørke bær og plommer. Lange og faste tanniner på smak med en frisk syre og en pen konsentrasjon.;Frankrike;Bordeaux;Pessac-Leognan;2016;Domaine de Chevalier;840;2025;2038;92;2;;Cabernet Sauvignon 55%, Merlot 40%, Petit Verdot 5%
Domaine de Chevalier;Rød;Dufter av mørke bær og plommer. Lange og faste tanniner på smak med en frisk syre og en pen konsentrasjon.;Frankrike;Bordeaux;Pessac-Leognan;2017;Domaine de Chevalier;780;2026;2036;90;2;;Cabernet Sauvignon 55%, Merlot 40%, Petit Verdot 5%
Pol Roger Brut Vintage ;Musserende;Lukket på duft med hint av freske epler og kjeks. Tett, konsentrert og veldig fersk frukt på smak med en ren og klar tone. Spenstig og frisk syre med en tørr og lang utgang. Har godt av litt mer tid.;Frankrike;Champagne;;2013;Pol Roger;619;2025;2036;92;1;5;Chardonnay 40%, Pinot Noir 60%
Chateau Figeac;Rød;Dufter av tre og sjokolade. Faste tanniner og en søt treaktig frukt. Lang og fast finish.;Frankrike;Bordeaux;Saint-Emilion;2014;Ch. Figeac;1000;2020;2055;93;1;;Cabernet Sauvignon, Merlot (bordeaux blend)
Chateau Figeac;Rød;Dufter av tre og sjokolade. Faste tanniner og en søt treaktig frukt. Lang og fast finish.;Frankrike;Bordeaux;Saint-Emilion;2012;Ch. Figeac;935;2015;2045;92;3;5;Cabernet Sauvignon, Merlot (bordeaux blend)
Faustino I Gran Reserva;Rød;Dufter av tørket frukt, lær, tre og krydder. Avslipt og moden frukt med en frisk syre og lange lett tørre og modne tanninet. Strukturert utgang.;Spania;Rioja;;1987;Bod. Faustino;1500;2019;2023;88;1;4;Graciano 15%, Tempranillo 85%
Barbaresco;Rød;Nyansert og fint utviklet. Preg av røde bær, tørket frukt, blomst og litt tjære, fast ettersmak.;Italia;Piemonte;Barbaresco;2017;Prod. del Barbaresco;389;2020;2030;92;1;4;Nebbiolo 100%
Châteauneuf-du-Pape;Rød;Floral scent with hints of roses and pepper. Mature and delicately beautiful cdP. Long and polished tannins with a fresh acid;Frankrike;Rhone Sør;Châteauneuf-du-Pape;2018;Clos des Brusquieres;345;2020;2030;89;1;;Grenache 60%, Mourvèdre 20%, Syrah 15%
Vajra Langhe Rosso;Rød;Dufter av plommer og kirsebær med hint av lær. Frisk og fersk sødmefull fersk frukt på smak med en frisk syre og lett tørre tanniner. Mye vin for pengene.;Italia;Piemonte;Langhe;2019;G.D. Vajra;155;2020;2024;86;1;;Dolcetto 25%, Freisa 5%, Nebbiolo 30%, Barbera 35%, Pinot Nero 3%
Sebastien Brunet La Folie Vouvray ;Hvit;Energisk og saftig preg av eple og fersken, litt saltaktig, innslag av mineraler, krydder og nøtt.;Frankrike;Loire;Vouvray;2018;Sébastien Brunet;249;2020;2030;82;1;;Chenin Blanc 100%
Dom. du Pélican Arbois Chardonnay;Hvit;Konsentrert, frisk, syrlig lang avslutning, salte mineraler.;Frankrike;Jura;Arbois;2018;Dom. du Pélican;379;2021;2028;89;1;;Chardonnay 100%
Meinklang Burgenland;Rød;Ung, saftig og frisk, preg av røde bær, grønne urter og litt krydder.;Østerrike;Burgenland;;2019;Meinklang;155;2020;2022;85;1;2;Blaufränkisch 30%, St. Laurent 10%, Zweigelt 60%
Fonseca Privada Moscatel de Setubal;Muscat;Honning, nøtter, sitrus og frukt;Portugal;Douro é Porto;;1998;J.M. da Fonseca;369;2020;2030;92;0;5;Moscatell 100%
Gevrey Chambertin Vieilles Vignes;Rød;Saftig og nyansert, preg av røde og mørke bær, urter og blomst, hint av krydder og fat, god lengde.;Frankrike;Burgund;Gevrey-Chambertin;2017;"
Benjamin Leroux";522;2019;2030;90;0;5;"
Pinot Noir 100%"
Domaine de Chevalier;Rød;Dufter av mørke bær og plommer. Lange og faste tanniner på smak med en frisk syre og en pen konsentrasjon.;Frankrike;Bordeaux;Pessac-Leognan;2012;Domaine de Chevalier;500;2016;2028;94;0;6;Cabernet Sauvignon 55%, Merlot 40%, Petit Verdot 5%
Fèlsina Fontalloro;Rød;Dufter av nøtter og mørke bær med hint av tre. Saftig og sammensatt frukt med en balansert og frisk syre med lange og raffinerte tanniner. Nydelig og lang med en balansert utgang.;Italia;Toscana;;2015;Fèlsina;520;2018;2030;93;0;5;Sangiovese 100%